ID,Category,Type,Gender,Season,Occasion,Material,Color,Price Range,Age Group,Sleeve Length,Fit Type,Pattern,Brand
1,Western,Shirt,Men,Monsoon,Office,Wool,Grey,Low,Adults,Full,Regular Fit,Printed,Levi's
2,Western,T-Shirt,Men,All,Casual,Cotton,Pink,Low,Teens,Half,Slim Fit,Printed,Nike
3,Traditional,Saree,Women,Monsoon,Festive,Nylon,Blue,High,Teens,Sleeveless,Regular Fit,Embroidered,FabIndia
4,Traditional,Kurta Pajama,Men,All,Casual,Wool,Red,High,Adults,Sleeveless,Regular Fit,Striped,Zara
5,Traditional,Lehenga,Women,Winter,Wedding,Linen,Pink,Low,Kids,Sleeveless,Regular Fit,Embroidered,Zara
6,Western,T-Shirt,Men,Summer,Casual,Silk,Pink,High,Teens,Half,Loose Fit,Printed,Local
7,Seasonal,Jacket,Unisex,Winter,Travel,Polyester,Grey,Low,Adults,Half,Loose Fit,Embroidered,H&M
8,Seasonal,Raincoat,Unisex,Winter,Travel,Denim,White,High,Teens,Sleeveless,Loose Fit,Embroidered,Levi's
9,Traditional,Kurti,Women,Summer,Festive,Nylon,Yellow,Medium,Kids,Half,Slim Fit,Solid,Zara
10,Western,Formal Suit,Men,Monsoon,Party,Nylon,Red,Low,Kids,Full,Slim Fit,Striped,FabIndia
11,Western,T-Shirt,Men,All,Casual,Denim,Blue,High,Seniors,Sleeveless,Slim Fit,Printed,Adidas
12,Traditional,Salwar Kameez,Women,Winter,Office,Linen,Red,High,Teens,Sleeveless,Loose Fit,Printed,Adidas
13,Western,Jeans,Unisex,All,Casual,Denim,White,High,Adults,Sleeveless,Loose Fit,Printed,Zara
14,Traditional,Saree,Women,Summer,Festive,Wool,Yellow,Low,Teens,Half,Regular Fit,Checked,Zara
15,Western,Jeans,Unisex,Winter,Casual,Silk,Red,High,Seniors,Half,Regular Fit,Striped,FabIndia
16,Western,Formal Suit,Men,Winter,Party,Polyester,Grey,Medium,Teens,Sleeveless,Loose Fit,Embroidered,FabIndia
17,Western,Jeans,Unisex,Winter,Casual,Wool,Black,High,Seniors,Half,Regular Fit,Solid,Levi's
18,Western,Formal Suit,Men,Summer,Party,Nylon,White,Low,Adults,Full,Slim Fit,Embroidered,Nike
19,Traditional,Lehenga,Women,Monsoon,Wedding,Linen,Blue,High,Seniors,Full,Regular Fit,Checked,H&M
20,Traditional,Kurti,Women,Monsoon,Festive,Polyester,Yellow,Medium,Kids,Full,Slim Fit,Embroidered,H&M
21,Traditional,Kurta Pajama,Men,All,Casual,Cotton,Black,Medium,Teens,Sleeveless,Loose Fit,Striped,Levi's
22,Traditional,Kurti,Women,Monsoon,Festive,Polyester,Green,Low,Seniors,Half,Regular Fit,Checked,Zara
23,Western,Jeans,Unisex,All,Casual,Denim,Blue,Low,Seniors,Sleeveless,Regular Fit,Printed,Zara
24,Western,Shirt,Men,Monsoon,Office,Nylon,White,High,Kids,Full,Regular Fit,Embroidered,Local
25,Seasonal,Raincoat,Unisex,All,Travel,Polyester,Green,Low,Kids,Sleeveless,Regular Fit,Checked,H&M
26,Traditional,Kurta Pajama,Men,Monsoon,Casual,Silk,Grey,Low,Kids,Full,Loose Fit,Embroidered,FabIndia
27,Seasonal,Raincoat,Unisex,All,Travel,Denim,Red,High,Kids,Half,Regular Fit,Embroidered,Levi's
28,Seasonal,Jacket,Unisex,Winter,Travel,Cotton,Grey,High,Teens,Full,Loose Fit,Solid,Levi's
29,Western,Jeans,Unisex,Winter,Casual,Polyester,White,Medium,Kids,Sleeveless,Regular Fit,Solid,H&M
30,Western,Jeans,Unisex,Monsoon,Casual,Denim,Green,High,Teens,Sleeveless,Slim Fit,Printed,Adidas
31,Traditional,Kurta Pajama,Men,Winter,Casual,Silk,Black,Medium,Seniors,Half,Loose Fit,Checked,H&M
32,Western,Jeans,Unisex,Summer,Casual,Cotton,Red,Low,Kids,Half,Regular Fit,Solid,Local
33,Traditional,Kurti,Women,Monsoon,Festive,Polyester,White,Medium,Teens,Half,Loose Fit,Printed,FabIndia
34,Traditional,Saree,Women,All,Festive,Denim,Green,Medium,Adults,Half,Loose Fit,Checked,Zara
